         1517261 function calls (1488817 primitive calls) in 60.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      168   50.819    0.302   50.819    0.302 {method 'write' of '_io.TextIOWrapper' objects}
      140    1.331    0.010    1.404    0.010 C:\Users\ASUS\AppData\Roaming\Python\Python39\site-packages\mss\windows.py:203(_grab_impl)
      140    1.170    0.008    1.170    0.008 {imencode}
       84    1.079    0.013    1.079    0.013 {built-in method torch._C._cuda_synchronize}
      960    0.577    0.001    0.577    0.001 {built-in method torch.conv2d}
      514    0.352    0.001    0.355    0.001 {method 'to' of 'torch._C.TensorBase' objects}
       20    0.240    0.012    0.240    0.012 {built-in method torch.stack}
      140    0.236    0.002    0.236    0.002 {resize}
     5713    0.223    0.000    0.223    0.000 {built-in method nt.stat}
     4020    0.220    0.000    0.220    0.000 {built-in method nt._getfinalpathname}
      140    0.189    0.001    0.189    0.001 {built-in method torch.tensor}
      720    0.180    0.000    0.180    0.000 {built-in method io.open_code}
      720    0.172    0.000    0.172    0.000 {built-in method marshal.loads}
      140    0.123    0.001    0.124    0.001 {method 'tofile' of 'numpy.ndarray' objects}
      140    0.122    0.001    0.122    0.001 {built-in method torch._ops.torchvision.nms}
       15    0.115    0.008    0.115    0.008 {waitKey}
      140    0.114    0.001    2.234    0.016 C:\Users\ASUS\Desktop\MTG_Computer_Vision_Bot\YoloInference.py:661(capture_game_window)
       14    0.109    0.008    0.261    0.019 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\utils\ops.py:162(non_max_suppression)
      140    0.098    0.001    0.376    0.003 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\engine\results.py:188(plot)
      140    0.085    0.001    0.085    0.001 {cvtColor}
      198    0.079    0.000    0.080    0.000 {built-in method numpy.array}
      140    0.079    0.001    0.233    0.002 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\engine\results.py:317(verbose)
      140    0.077    0.001    0.077    0.001 {built-in method torch._unique2}
       14    0.070    0.005    2.304    0.165 C:\Users\ASUS\Desktop\MTG_Computer_Vision_Bot\YoloInference.py:829(<listcomp>)
